experiment,sample_size,p_value
85,260,0.08252283995650604
85,960,0.3211056883496624
86,35,0.1674341938434154
86,60,0.5757485561428025
86,110,0.13687463138204511
86,260,0.06775750619797365
86,960,0.034316910779601355
87,35,0.45969938810308286
87,60,0.575638761538944
87,110,0.6754511679640235
87,260,0.9945191285046215
87,960,0.40143133367346917
88,35,0.83139628022872
88,60,0.8134391804129334
88,110,0.8020791305952202
88,260,0.2629136369447504
88,960,0.8909033548464731
89,35,0.38186448411123797
89,60,0.5147752859095028
89,110,0.5211177548971738
89,260,0.45844544012510213
89,960,0.3933263266716087
90,35,0.6092482177498617
90,60,0.48204561497811926
90,110,0.6725342216371722
90,260,0.7623357607795567
90,960,0.1681905015557773
91,35,0.8089843782739703
91,60,0.8207249855890597
91,110,0.9009255010296205
91,260,0.9234297462127249
91,960,0.7116814666216893
92,35,0.7125190804410264
92,60,0.8290496289743273
92,110,0.8990951974411341
92,260,0.7384262154692824
92,960,0.9174292361717968
93,35,0.7503501087234711
93,60,0.7626707676590694
93,110,0.38307092432387824
93,260,0.41646513053606365
93,960,0.75299817328728
94,35,0.08854556070826787
94,60,0.21659230530442947
94,110,0.029999580616729745
94,260,0.05125043926025332
94,960,0.4803205659572144
95,35,0.4825490709990581
95,60,0.7108298175816942
95,110,0.8187443198749722
95,260,0.48639027668788687
95,960,0.4128465014607045
96,35,0.9848147280993235
96,60,0.9652681211580582
96,110,0.9602243001909812
96,260,0.9681689024652596
96,960,0.8904524963727805
97,35,0.33086284572129876
97,60,0.3370760612491819
97,110,0.21086765029459448
97,260,0.09576665593526505
97,960,0.20290104794074904
98,35,0.301336758007584
98,60,0.1337311674054408
98,110,0.13425356650823217
98,260,0.13032365302370028
98,960,0.3123122591701693
99,35,0.6406714509739514
99,60,0.20500875736206658
99,110,0.20074010815916082
99,260,0.41684381796610803
99,960,0.5289211606165843
100,35,0.6189554442662671
100,60,0.7229505183052217
100,110,0.6264228555162042
100,260,0.6599799686930744
100,960,0.3181933234537164
101,35,0.6188227808236796
101,60,0.13955107049630464
101,110,0.18404722913480315
101,260,0.12911544283230522
101,960,0.3055774719230076
102,35,0.2292642392483818
102,60,0.4769418033220033
102,110,0.6526019179105693
102,260,0.5223826752199938
102,960,0.661989442901039
103,35,0.25015006656493743
103,60,0.3846464803721139
103,110,0.6669721124554189
103,260,0.6127450453457761
103,960,0.37711751426584156
104,35,0.5314915234140056
104,60,0.18286686823400006
104,110,0.3376933431629179
104,260,0.29546639991417906
104,960,0.13081889660765386
105,35,0.10134006292452345
105,60,0.25406757276455483
105,110,0.7400853141775985
105,260,0.9445106134317939
105,960,0.6878679508495628
106,35,0.7221869259847431
106,60,0.6364391681309871
106,110,0.6939095574555382
106,260,0.7599710903664598
106,960,0.2096395267494181
107,35,0.5131034706548573
107,60,0.1467824017487391
107,110,0.5565981604589503
107,260,0.2164694317743967
107,960,0.9461833046986001
108,35,0.050684933815722484
108,60,0.07391947488872311
108,110,0.07924452924253664
108,260,0.0298314312269108
108,960,0.10307461349072378
109,35,0.4305438456248943
109,60,0.8974686346432604
109,110,0.6959850124227401
109,260,0.7042018912402597
109,960,0.8507254349948946
110,35,0.8281282722922949
110,60,0.6523100504314415
110,110,0.8945620381820583
110,260,0.8373491817798704
110,960,0.8645759217435011
111,35,0.04118991936951727
111,60,0.22217791414950033
111,110,0.4873660212713099
111,260,0.7921901900699455
111,960,0.3447831549246
112,35,0.205349457238455
112,60,0.8855309466448008
112,110,0.959663498539087
112,260,0.7645417390442628
112,960,0.4230946293348722
113,35,0.7513205184703495
113,60,0.46927295241867817
113,110,0.8910306558925734
113,260,0.8365506552968076
113,960,0.6244880160778487
114,35,0.4966042940691653
114,60,0.4324548717973049
114,110,0.4568376264059584
114,260,0.7916232948902805
114,960,0.253347129828284
115,35,0.6583993725730743
115,60,0.7475368967025825
115,110,0.8423990781903062
115,260,0.8543542636831806
115,960,0.4046412426289142
116,35,0.5250155614900315
116,60,0.20299518261202504
116,110,0.3821380204719051
116,260,0.17896556837600225
116,960,0.2088301799013802
117,35,0.6756506599356887
117,60,0.3158560441125219
117,110,0.2484753626147661
117,260,0.7121562482596155
117,960,0.12917109631216822
118,35,0.47375832222350034
118,60,0.9760874083053452
118,110,0.7448077731735958
118,260,0.6704704806005747
118,960,0.93985376477734
119,35,0.7174199388138561
119,60,0.36232670486719565
119,110,0.45835283889990236
119,260,0.41855928332078335
119,960,0.35783808769241976
120,35,0.11060836223596819
120,60,0.09340175596333129
120,110,0.11202249267405877
120,260,0.6265781045005521
120,960,0.35411452988573994
121,35,0.15216108709310389
121,60,0.04122035696338471
121,110,0.1838206711718689
121,260,0.4593579081482475
121,960,0.517381099953202
122,35,0.8565772381100509
122,60,0.6935751467606854
122,110,0.8270743138486987
122,260,0.9737649745686819
122,960,0.9594292702238162
123,35,0.653195039459395
123,60,0.6475428031791803
123,110,0.7091773840730471
123,260,0.7199014059567781
123,960,0.20181748531678528
124,35,0.3870082145178909
124,60,0.8623530128888648
124,110,0.9521066080418332
124,260,0.8661721864124216
124,960,0.4793559701794626
125,35,0.6217868187765706
125,60,0.8576615103350392
125,110,0.7269794441522726
125,260,0.8883207367203639
125,960,0.8013152527364588
126,35,0.8658453960997238
126,60,0.8524469103355332
126,110,0.7579700057711763
126,260,0.37907928073175073
126,960,0.5809504845105007
127,35,0.01600606700682867
127,60,0.0011889383236390301
127,110,0.0010896349323150922
127,260,0.01439056795550827
127,960,0.5446442295822472
128,35,0.29595197278731245
128,60,0.48199359934869757
128,110,0.6625401510632724
128,260,0.20695367433778028
128,960,0.3675881830432929
129,35,0.24333725854455884
129,60,0.0879673001674025
129,110,0.28071924964650513
129,260,0.17973558129586892
129,960,0.05717363122503805
130,35,0.6393687723035362
130,60,0.4021707834288789
130,110,0.8394034651013877
130,260,0.6310029298073737
130,960,0.8049398680514628
131,35,0.214944714154521
131,60,0.1323019215655262
131,110,0.1378642904310079
131,260,0.326065052061498
131,960,0.7965433063206657
132,35,0.9304803011158665
132,60,0.9217189562731007
132,110,0.8815362950259089
132,260,0.8478201260286357
132,960,0.3815179738959368
133,35,0.34172189079578486
133,60,0.42835329015576024
133,110,0.26952413707881084
133,260,0.2741800411804749
133,960,0.5519691540390732
134,35,0.10698426671255608
134,60,0.21187767381881312
134,110,0.08631176058773987
134,260,0.5838622621755353
134,960,0.11370163215151607
135,35,0.9380185072189211
135,60,0.993792380691268
135,110,0.9887654361853468
135,260,0.9719622933249046
135,960,0.5958230734018932
136,35,0.7704409988710554
136,60,0.9170637882711278
136,110,0.9835444969954388
136,260,0.9925149668364448
136,960,0.9206654827094823
137,35,0.054989422778835506
137,60,0.06939592050838818
137,110,0.053389089234662616
137,260,0.19747222067783443
137,960,0.0375802378725441
138,35,0.3782076416172652
138,60,0.28870225858655246
138,110,0.5209909990460123
138,260,0.898103475383901
138,960,0.12087770197216385
139,35,0.8570199971245626
139,60,0.5956103844640206
139,110,0.6532669939664093
139,260,0.9631788777495593
139,960,0.728806894263704
140,35,0.012217264690175332
140,60,0.14799894306329173
140,110,0.08507404298640196
140,260,0.35196077610752524
140,960,0.899225035012666
141,35,0.6657404514661609
141,60,0.4824199845567572
141,110,0.5582027907436855
141,260,0.8706259460424456
141,960,0.8975499948137731
142,35,0.7908416766303772
142,60,0.8321997721745353
142,110,0.9623445672745561
142,260,0.44366865382761556
142,960,0.7637249045100138
143,35,0.43438463626352475
143,60,0.359894998175788
143,110,0.6929518253055936
143,260,0.9518440715491048
143,960,0.789343017545127
144,35,0.3012110511496108
144,60,0.4323776255387023
144,110,0.35361357165295804
144,260,0.00955868560551156
144,960,0.3629892326173012
145,35,0.005641254957062798
145,60,0.12698479283479439
145,110,0.5474336124051072
145,260,0.6050285304451691
145,960,0.8365481497310845
146,35,0.8825924533963203
146,60,0.8469854090910827
146,110,0.9595056240665724
146,260,0.8422895052606216
146,960,0.1701339013914397
147,35,0.6726304957099781
147,60,0.5969285189752128
147,110,0.3012552088811908
147,260,0.31752869497173225
147,960,0.522183694110185
148,35,0.748529496914766
148,60,0.3938461427511148
148,110,0.20644231312695466
148,260,0.4929655934785323
148,960,0.10553966412316462
149,35,0.4908566021031303
149,60,0.5167408335581815
149,110,0.4115517894696454
149,260,0.4021680239219887
149,960,0.37915610763499363
150,35,0.7473480981499979
150,60,0.5060179122550583
150,110,0.3934339027999724
150,260,0.5093385568046926
150,960,0.467076982341706
151,35,0.3696175489484489
151,60,0.5850395599982147
151,110,0.5724794084499809
151,260,0.8987712407379569
151,960,0.30515428235565656
152,35,0.9333073536181675
152,60,0.8065453165962702
152,110,0.8821360175085735
152,260,0.6445717494760606
152,960,0.6530757999321692
153,35,0.14532890977741625
153,60,0.20046820166333074
153,110,0.0160517970276792
153,260,0.04241735388349112
153,960,0.33746923603608925
154,35,0.8087002691067104
154,60,0.8504655826627806
154,110,0.9430984270784654
154,260,0.9362110994982594
154,960,0.27718193418527626
155,35,0.48245592329669285
155,60,0.34302722531104457
155,110,0.12439101884326981
155,260,0.5405662366934345
155,960,0.9239822665137963
156,35,0.7740018204577759
156,60,0.8224928075608482
156,110,0.5928239094223728
156,260,0.9429657812263288
156,960,0.9681634349334445
157,35,0.22715058039432034
157,60,0.18188440361227365
157,110,0.49811843550938334
157,260,0.8659509309744026
157,960,0.7346816375622083
158,35,0.7376537370459969
158,60,0.7446968917064434
158,110,0.6266276575747398
158,260,0.8991964035244537
158,960,0.9925938365482779
159,35,0.3005801615272525
159,60,0.4738500561783161
159,110,0.08124919702301421
159,260,0.04194195248429456
159,960,0.044051794523724944
160,35,0.11351950532588483
160,60,0.18567799580189726
160,110,0.0591646446438451
160,260,0.28825342683249244
160,960,0.2851807823346003
161,35,0.6753171644462876
161,60,0.7842326938588893
161,110,0.7587842195148015
161,260,0.9718054133492589
161,960,0.872107618009474
162,35,0.9842818893144287
162,60,0.9603833181486346
162,110,0.9408339135163786
162,260,0.9927266958558569
162,960,0.9256993235980947
163,35,0.3346409262042483
163,60,0.036811023790485925
163,110,0.1407520620166756
163,260,0.17705654256098613
163,960,0.7404405291804956
164,35,0.5387338671655185
164,60,0.36691224356190677
164,110,0.2841220505134072
164,260,0.22388619519840536
164,960,0.5800496710998593
165,35,0.7178446208434521
165,60,0.9772162586261564
165,110,0.6827952374717852
165,260,0.8026365201834612
165,960,0.4042974364897428
166,35,0.4927594578251565
166,60,0.7136374186724352
166,110,0.771343249325691
166,260,0.8233849323320767
166,960,0.7665293555290436
167,35,0.6013166132505828
167,60,0.6103153455454691
167,110,0.6143550510701088
167,260,0.3006674460153843
167,960,0.054704841091092526
168,35,0.5228705803358613
168,60,0.7741709597255848
168,110,0.911058846298953
168,260,0.7705897273942404
168,960,0.6700103336011192
169,35,0.8056129899524527
169,60,0.6719365260414795
169,110,0.8700640924646513
169,260,0.9154990984866217
169,960,0.9770348046076996
170,35,0.49836623710321826
170,60,0.5566732541877524
170,110,0.7452349205756496
170,260,0.6692925576795907
170,960,0.41928104597385535
171,35,0.8816728694024417
171,60,0.4511473525023727
171,110,0.1259137070456923
171,260,0.1333513033961905
171,960,0.2628790017551452
172,35,0.004157511405341221
172,60,0.006047784832492826
172,110,0.009919741798401308
172,260,0.15216623049114927
172,960,0.41940664712328624
173,35,0.39217938046756984
173,60,0.4934602088212392
173,110,0.2949541950438429
173,260,0.35050543569667
173,960,0.189388524011311
174,35,0.21070881458105073
174,60,0.2710203352820413
174,110,0.8197378593027222
174,260,0.34348448551561894
174,960,0.5339811516179992
175,35,0.8092003483829628
175,60,0.8806752853132112
175,110,0.7888738732667523
175,260,0.7369020697918662
175,960,0.013841348720778907
176,35,0.490221191394419
176,60,0.7119443911211525
176,110,0.25616398355641357
176,260,0.47875399871202917
176,960,0.4246209730510795
177,35,0.023751145872774906
177,60,0.14682512390104085
177,110,0.11492414735270672
177,260,0.39243301685765475
177,960,0.31473684187730944
178,35,0.10621125045603526
178,60,0.11589675795687261
178,110,0.5067806603618898
178,260,0.2343687831308684
178,960,0.09223571634522303
179,35,0.01629888902160459
179,60,0.11552801968419443
179,110,0.4542012432147191
179,260,0.7472890084507421
179,960,0.31115458198644796
180,35,0.9405666704003183
180,60,0.9769969881469318
180,110,0.999804033047444
180,260,0.9826488239349562
180,960,0.74784307011304485
181,35,0.054175887574902576
181,60,0.12260348573175993
181,110,0.21856130510363514
181,260,0.011759223918978035
181,960,0.24078609823913194
182,35,0.3129407935565989
182,60,0.42504582823952625
182,110,0.27707180654788305
182,260,0.8715787082962432
182,960,0.6578801802486196
183,35,0.25214024335935903
183,60,0.6113677207131853
183,110,0.62219762495382
183,260,0.8648079220406656
183,960,0.606651441041528
184,35,0.7546018335195386
184,60,0.4647871260705614
184,110,0.4258832588134598
184,260,0.6748705656286398
184,960,0.9820533683726069
185,35,0.10143540319280023
185,60,0.1777208563016343
185,110,0.12308113593785254
185,260,0.14772950967056736
185,960,0.38066890263527603
186,35,0.495898093713727
186,60,0.3194319861444468
186,110,0.19725248997618977
186,260,0.2652500844130399
186,960,0.04845983802606442
187,35,0.8647826880681664
187,60,0.9418839829945742
187,110,0.9190870978763758
187,260,0.7063825098255506
187,960,0.4044613105923847
188,35,0.9179353521018149
188,60,0.8706960785601732
188,110,0.980648277694773
188,260,0.9080150113985178
188,960,0.8827223793050203
189,35,0.2549384183412345
189,60,0.3269120386580198
189,110,0.09210896208059194
189,260,0.09930285355363609
189,960,0.12354622960974787
190,35,0.9691058179075177
190,60,0.7898194453599443
190,110,0.6446948409037836
190,260,0.8208348268530316
190,960,0.6673197444935964
191,35,0.5421201099613445
191,60,0.4731061938556112
191,110,0.8322332628458032
191,260,0.28856501871807483
191,960,0.30177075993185176
192,35,0.15180047851654235
192,60,0.40935394047351537
192,110,0.5598988277940347
192,260,0.09798658111662066
192,960,0.10725479227348535
193,35,0.42311965293984266
193,60,0.10854041981694938
193,110,0.16237348264663137
193,260,0.5058572839588904
193,960,0.3502016194441362
194,35,0.3693837177507452
194,60,0.10574822995822915
194,110,0.02637828052623691
194,260,0.253192821402329
194,960,0.4946521449180562
195,35,0.8190145255849872
195,60,0.7492806182771847
195,110,0.7071860102700398
195,260,0.23857761796455618
195,960,0.6869085695838253
196,35,0.05040389490906054
196,60,0.1369822263142106
196,110,0.1786946378668553
196,260,0.33253154783630473
196,960,0.006416531418071278
197,35,0.6979944194131793
197,60,0.675432868311808
197,110,0.5542235958969608
197,260,0.6480632127305382
197,960,0.602661504868099
198,35,0.430103873608013
198,60,0.32072200554923835
198,110,0.18342800884548816
198,260,0.23506061739172174
198,960,0.7138089533739506
199,35,0.07227597354515693
199,60,0.4349013383899942
199,110,0.41793489272630885
199,260,0.5348833051077017
199,960,0.26403026446953337
200,35,0.5049296240760289
200,60,0.48366846283242526
200,110,0.5064253011828651
200,260,0.8849438748359112
200,960,0.8918529534923142
201,35,0.03938165737362388
201,60,0.7785241299456513
201,110,0.8713311552279663
201,260,0.3850081341191636
201,960,0.8231545785198453
202,35,0.3039344353402693
202,60,0.7274022036585047
202,110,0.18399051760109647
202,260,0.08617480390136979
202,960,0.4132326638706515
203,35,0.07052205025760025
203,60,0.030100123541788676
203,110,0.5889885491119312
203,260,0.3798980052915055
203,960,0.365609104600066
204,35,0.09655875834163183
204,60,0.02482636427112469
204,110,0.004355273293902786
204,260,0.44550640300761024
204,960,0.32791524279057216
205,35,0.5434642218374445
205,60,0.9162771841829443
205,110,0.873167835619523
205,260,0.7689547480167689
205,960,0.3769499734611087
206,35,0.6654366076779411
206,60,0.5321041676044223
206,110,0.6854475309882074
206,260,0.33036991253158554
206,960,0.49076351242244626
207,35,0.043794530327452334
207,60,0.17823472489089776
207,110,0.058277233823971764
207,260,0.06911320848666143
207,960,0.011930546860867865
208,35,0.8115620406247578
208,60,0.8749159381136362
208,110,0.22152246917736834
208,260,0.38300130673320454
208,960,0.03967324442665701
209,35,0.2427505823097466
209,60,0.31138206725156925
209,110,0.4649205694693356
209,260,0.7822822202314308
209,960,0.7857318057447501
210,35,0.6360211673189646
210,60,0.2521472201247966
210,110,0.22093056272151512
210,260,0.5087228264247563
210,960,0.11382862269852866
211,35,0.09402388375458677
211,60,0.24418147541888668
211,110,0.23727207952535856
211,260,0.5966181930155601
211,960,0.8455273908989338
212,35,0.6072213688748248
212,60,0.7871761641825084
212,110,0.8340505823518412
212,260,0.4775594329765896
212,960,0.01810278427435667
213,35,0.4377004890500573
213,60,0.23870977608535215
213,110,0.5398598284800845
213,260,0.7372874588351617
213,960,0.4606118285960534
214,35,0.8359920475188638
214,60,0.8909060353649698
214,110,0.7621617136885954
214,260,0.5887128411751292
214,960,0.788245045499139
215,35,0.679637152653152
215,60,0.7339407654271587
215,110,0.9850410834722448
215,260,0.9448665812448485
215,960,0.9471054936486453
216,35,0.8945964242183863
216,60,0.6680883170324896
216,110,0.9110151896369068
216,260,0.6203163575990317
