ID,PARAM,Year,MM--DD,MAX,SYM,MM--DD,MIN,SYM
05BB001,1,1999,06--19,205,,01--24,6.68,B
05BB001,1,2000,07--02,153,,12--11,7.88,B
05BB001,1,2001,05--29,165,,03--15,6.27,B
05BB001,1,2002,06--29,226,,03--17,5.58,B
05BB001,1,2003,06--11,164,,02--23,5.64,B
05BB001,1,2004,06--12,162,,01--26,7.80,B
05BB001,1,2005,06--23,167,,03--24,8.44,B
05BB001,1,2006,05--21,168,,02--18,7.83,B
05BB001,1,2007,06--07,298,,02--14,7.98,B
05BB001,1,2008,07--01,163,,03--31,7.00,B
05BB001,1,2009,06--17,143,,12--07,6.30,B
05BB001,1,2010,06--30,138,,04--05,6.40,B
05BB001,1,2011,06--23,179,,01--30,7.13,B
05BB001,1,2012,06--07,332,,12--25,6.12,B
05BB001,1,2013,06--21,466,,01--02,5.31,B
05BB001,1,2014,06--26,178,,01--28,6.09,B
05BB001,1,2015,06--09,151,,03--04,6.59,B
05BB001,1,2016,06--08,107,,03--28,7.70,B
05BB001,1,2018,05--27,199,,03--31,6.77,B
